DepCols,3month,6month,1year,2year,3year,5year,7year,10year,20year,30year
3month,1.000000000000017,0.9931072666100096,0.968396709736585,0.8703062101383714,0.7038447198819671,0.31652480421003115,0.08080102139544312,0.0003102408788748741,0.06663311949000807,0.12341031337521882
6month,0.9931072666100108,1.0000000000000013,0.9886573957863893,0.9062539603063774,0.7448366342668595,0.34511322225201707,0.09350015959494547,0.0009318756226705305,0.06426560458619938,0.12274621377322725
1year,0.9683967097365899,0.9886573957863963,1.0000000000000053,0.9508850995012738,0.8093288994072984,0.407802501361065,0.12967408652219334,0.005972474302228343,0.04779533924998526,0.10260499359504344
2year,0.8703062101383833,0.9062539603063954,0.9508850995012839,1.00000000000002,0.944488995958861,0.6057105081293451,0.2778181091995291,0.05779723418544448,0.00584960901930721,0.0356043846163235
3year,0.7038447198819762,0.7448366342668727,0.8093288994073047,0.9444889959588408,1.0000000000000078,0.8075670450098468,0.48441005457089076,0.1801056505695142,0.01052376191976776,0.0002773293109047638
5year,0.3165248042100372,0.3451132222520258,0.4078025013610626,0.6057105081293177,0.8075670450098305,0.9999999999999913,0.8777613055025649,0.5762127859747436,0.23729226832689665,0.14598641040720758
7year,0.08080102139543832,0.09350015959494257,0.12967408652218385,0.2778181091994884,0.4844100545708558,0.8777613055025014,0.9999999999999253,0.8721342518114439,0.5643455715436371,0.4504264174190446
10year,0.0003102408788748361,0.0009318756226708422,0.005972474302228053,0.05779723418543105,0.18010565056950786,0.5762127859747402,0.872134251811522,0.9999999999999681,0.8714885952233787,0.7870744755696599
20year,0.06663311949000945,0.06426560458619801,0.04779533924998799,0.0058496090193121564,0.010523761919763445,0.23729226832688016,0.564345571543684,0.8714885952233604,0.9999999999999245,0.9682776259497967
30year,0.12341031337521828,0.12274621377322559,0.10260499359504781,0.03560438461633908,0.00027732931090532957,0.14598641040720292,0.45042641741910305,0.7870744755696313,0.9682776259497967,0.999999999999884
